date,headline
2016-10-05 14:00:44+05:30,"Sensex, Nifty wobbly; Hind Zinc, SBI, Force Motors most active"
2016-10-05 14:42:19+05:30,Moneycontrol Exclusive: Govt plans overhaul of tax administration for smooth GST rollout
2016-10-05 10:54:17+05:30,Bond bull market may pause but is far from over: Expert
2016-10-05 08:00:04+05:30,Automation threatens 69% jobs in India: World Bank
2016-10-05 10:33:49+05:30,Scope for meaningful rate cuts going ahead: Neelkanth Mishra
2016-10-05 09:00:17+05:30,Cautiously optimistic on India; eyeing earnings revival: Sanger
2016-10-05 09:04:03+05:30,Endurance Technologies IPO opens: Should you subscribe?
2016-10-05 14:50:10+05:30,Subramanian Swamy seeks ban on import of cement from Pakistan
2016-10-05 14:59:14+05:30,"Flipkart records highest-ever single day sale, grosses $200mn"
2016-10-05 13:39:13+05:30,Workload in IT to come down due to AI; jobs to reduce: Genpact
2016-10-05 12:02:15+05:30,Jhunjhunwala-partnered fund buys stake in TFCI: What's buzzing?
2016-10-05 12:27:10+05:30,Why you should not be always chasing returns
2016-10-05 10:00:07+05:30,Steel stocks rally as govt extends MIP on 66 steel products
2016-10-05 12:28:33+05:30,"Up over 200% in 1 year, what's buzzing with Borosil Glass?"
2016-10-05 10:07:15+05:30,Tech up to a healthier world
2016-10-05 12:53:07+05:30,Pixel launch: Is Google Assistant's AI an assault on privacy?
2016-10-05 11:54:06+05:30,RBI latest meeting 'diluted' its old policy framework: Nomura
2016-10-05 14:00:34+05:30,Uber  redBus partner with ixigo for train travellers
